step,timestamp,person,appliance,state
0,00:00:00,Klaus Mueller,bathroom sink,False
0,00:00:00,Klaus Mueller,shower,False
0,00:00:00,Klaus Mueller,refrigerator,False
0,00:00:00,Klaus Mueller,toaster,False
0,00:00:00,Klaus Mueller,cooking area,False
0,00:00:00,Klaus Mueller,guitar,False
0,00:00:00,Klaus Mueller,microphone,False
0,00:00:00,Klaus Mueller,piano,False
0,00:00:00,Klaus Mueller,game console,False
0,00:00:00,Klaus Mueller,computer desk,False
0,00:00:00,Klaus Mueller,computer,False
0,00:00:00,Klaus Mueller,tv,False
0,00:00:00,Klaus Mueller,light,False
0,00:00:00,Isabella Rodriguez,bathroom sink,False
0,00:00:00,Isabella Rodriguez,shower,False
0,00:00:00,Isabella Rodriguez,refrigerator,False
0,00:00:00,Isabella Rodriguez,toaster,False
0,00:00:00,Isabella Rodriguez,cooking area,False
0,00:00:00,Isabella Rodriguez,guitar,False
0,00:00:00,Isabella Rodriguez,microphone,False
0,00:00:00,Isabella Rodriguez,piano,False
0,00:00:00,Isabella Rodriguez,game console,False
0,00:00:00,Isabella Rodriguez,computer desk,False
0,00:00:00,Isabella Rodriguez,computer,False
0,00:00:00,Isabella Rodriguez,tv,False
0,00:00:00,Isabella Rodriguez,light,False
0,00:00:00,Maria Lopez,bathroom sink,False
0,00:00:00,Maria Lopez,shower,False
0,00:00:00,Maria Lopez,refrigerator,False
0,00:00:00,Maria Lopez,toaster,False
0,00:00:00,Maria Lopez,cooking area,False
0,00:00:00,Maria Lopez,guitar,False
0,00:00:00,Maria Lopez,microphone,False
0,00:00:00,Maria Lopez,piano,False
0,00:00:00,Maria Lopez,game console,False
0,00:00:00,Maria Lopez,computer desk,False
0,00:00:00,Maria Lopez,computer,False
0,00:00:00,Maria Lopez,tv,False
0,00:00:00,Maria Lopez,light,False
2160,06:00:00,Isabella Rodriguez,bathroom sink,False
2160,06:00:00,Isabella Rodriguez,shower,False
2160,06:00:00,Isabella Rodriguez,refrigerator,False
2160,06:00:00,Isabella Rodriguez,toaster,False
2160,06:00:00,Isabella Rodriguez,cooking area,False
2160,06:00:00,Isabella Rodriguez,guitar,False
